stem;ind3sg;ind3pl;prescont3sg;prescont3pl
incise;incises;incise;is incising;are incising
stigmatize;stigmatizes;stigmatize;is stigmatizing;are stigmatizing
dunt;dunts;dunt;is dunting;are dunting
cease;ceases;cease;is ceasing;are ceasing
degustate;degusts;degustate;is degusting;are degusting
approve;approves;approve;is approving;are approving
containerize;containerizes;containerize;is containerizing;are containerizing
rib;ribs;rib;is ribbing;are ribbing
retch;retches;retch;is retching;are retching
bestride;bestrides;bestride;is bestriding;are bestriding
revise;revises;revise;is revising;are revising
tramp;tramps;tramp;is tramping;are tramping
cantillate;cantillates;cantillate;is cantillating;are cantillating
coiffure;coiffures;coiffure;is coiffuring;are coiffuring
yirr;yirrs;yirr;is yirring;are yirring
hysterectomize;hysterectomizes;hysterectomize;is hysterectomizing;are hysterectomizing
verbify;verbifies;verbify;is verbifying;are verbifying
comprise;comprises;comprise;is comprising;are comprising
shed;sheds;shed;is shedding;are shedding
testmarket;testmarkets;testmarket;is testmarketing;are testmarketing
typewrite;typewrites;typewrite;is typewriting;are typewriting
reconstitute;reconstitutes;reconstitute;is reconstituting;are reconstituting
cloy;cloys;cloy;is cloying;are cloying
parboil;parboils;parboil;is parboiling;are parboiling
walk;walks;walk;is walking;are walking
miss;misses;miss;is missing;are missing
rook;rooks;rook;is rooking;are rooking
elude;eludes;elude;is eluding;are eluding
re-create;re-creates;re-create;is re-creating;are re-creating
clench;clenches;clench;is clenching;are clenching
glower;glowers;glower;is glowering;are glowering
pillar;pillars;pillar;is pillaring;are pillaring
add;adds;add;is adding;are adding
birth;births;birth;is birthing;are birthing
tritiate;tritiates;tritiate;is tritiating;are tritiating
dislike;dislikes;dislike;is disliking;are disliking
disassemble;disassembles;disassemble;is disassembling;are disassembling
near;nears;near;is nearing;are nearing
waul;wauls;waul;is wauling;are wauling
press;presses;press;is pressing;are pressing
telecasted;telecasts;telecasted;is telecasting;are telecasting
toggle;toggles;toggle;is toggling;are toggling
compete;competes;compete;is competing;are competing
pinprick;pinpricks;pinprick;is pinpricking;are pinpricking
hovel;hovels;hovel;is hovelling;are hovelling
breakaway;breakaways;breakaway;is breakawaying;are breakawaying
resinate;resinates;resinate;is resinating;are resinating
dog-paddle;dog-paddles;dog-paddle;is dog-paddling;are dog-paddling
primp;primps;primp;is primping;are primping
conciliate;conciliates;conciliate;is conciliating;are conciliating
ingot;ingots;ingot;is ingoting;are ingoting
head;heads;head;is heading;are heading
dishearten;disheartens;dishearten;is disheartening;are disheartening
franchise;franchises;franchise;is franchising;are franchising
lubricate;lubricates;lubricate;is lubricating;are lubricating
quill;quills;quill;is quilling;are quilling
levant;levants;levant;is levanting;are levanting
recoup;recoups;recoup;is recouping;are recouping
suture;sutures;suture;is suturing;are suturing
higgle;higgles;higgle;is higgling;are higgling
signalize;signalizes;signalize;is signalizing;are signalizing
flail;flails;flail;is flailing;are flailing
sue;sues;sue;is suing;are suing
trill;trills;trill;is trilling;are trilling
welsh;welshes;welsh;is welshing;are welshing
content;contents;content;is contenting;are contenting
needle;needles;needle;is needling;are needling
terrace;terraces;terrace;is terracing;are terracing
fleer;fleers;fleer;is fleering;are fleering
obtund;obtunds;obtund;is obtunding;are obtunding
expect;expects;expect;is expecting;are expecting
oblique;obliques;oblique;is obliquing;are obliquing
emphasize;emphasizes;emphasize;is emphasizing;are emphasizing
trample;tramples;trample;is trampling;are trampling
flush;flushes;flush;is flushing;are flushing
memorialize;memorializes;memorialize;is memorializing;are memorializing
shovel;shovels;shovel;is shovelling;are shovelling
photomap;photomaps;photomap;is photomapping;are photomapping
specify;specifies;specify;is specifying;are specifying
outstand;outstands;outstand;is outstanding;are outstanding
tusk;tusks;tusk;is tusking;are tusking
die-cast;die-casts;die-cast;is die-casting;are die-casting
unleash;unleashes;unleash;is unleashing;are unleashing
perjure;perjures;perjure;is perjuring;are perjuring
moderate;moderates;moderate;is moderating;are moderating
work;works;work;is working;are working
cheat;cheats;cheat;is cheating;are cheating
underexpose;underexposes;underexpose;is underexposing;are underexposing
estrange;estranges;estrange;is estranging;are estranging
bounce;bounces;bounce;is bouncing;are bouncing
expunge;expunges;expunge;is expunging;are expunging
prize;prizes;prize;is prizing;are prizing
cannibalize;cannibalizes;cannibalize;is cannibalizing;are cannibalizing
faint;faints;faint;is fainting;are fainting
effuse;effuses;effuse;is effusing;are effusing
covet;covets;covet;is coveting;are coveting
might;might;might;is mighting;are mighting
tout;touts;tout;is touting;are touting
inhabit;inhabits;inhabit;is inhabiting;are inhabiting
contemn;contemns;contemn;is contemning;are contemning
wink;winks;wink;is winking;are winking
badger;badgers;badger;is badgering;are badgering
visor;visors;visor;is visoring;are visoring
teem;teems;teem;is teeming;are teeming
twang;twangs;twang;is twanging;are twanging
restrict;restricts;restrict;is restricting;are restricting
borrow;borrows;borrow;is borrowing;are borrowing
arrange;arranges;arrange;is arranging;are arranging
nibble;nibbles;nibble;is nibbling;are nibbling
decant;decants;decant;is decanting;are decanting
dele;deles;dele;is deleing;are deleing
pretermit;pretermits;pretermit;is pretermitting;are pretermitting
tassel;tassels;tassel;is tasselling;are tasselling
turtle;turtles;turtle;is turtling;are turtling
jab;jabs;jab;is jabbing;are jabbing
denounce;denounces;denounce;is denouncing;are denouncing
shudder;shudders;shudder;is shuddering;are shuddering
sandcast;sandcasts;sandcast;is sandcasting;are sandcasting
reprobate;reprobates;reprobate;is reprobating;are reprobating
stomach;stomaches;stomach;is stomaching;are stomaching
plight;plights;plight;is plighting;are plighting
interchange;interchanges;interchange;is interchanging;are interchanging
delocalize;delocalizes;delocalize;is delocalizing;are delocalizing
zest;zests;zest;is zesting;are zesting
subtitle;subtitles;subtitle;is subtitling;are subtitling
itemize;itemizes;itemize;is itemizing;are itemizing
interlay;interlays;interlay;is interlaying;are interlaying
referee;referees;referee;is refereeing;are refereeing
quadrisect;quadrisects;quadrisect;is quadrisecting;are quadrisecting
menstruate;menstruates;menstruate;is menstruating;are menstruating
ablate;ablates;ablate;is ablating;are ablating
freshen;freshens;freshen;is freshening;are freshening
catch;catches;catch;is catching;are catching
destine;destines;destine;is destining;are destining
miscast;miscasts;miscast;is miscasting;are miscasting
prologue;prologues;prologue;is prologuing;are prologuing
rebuff;rebuffs;rebuff;is rebuffing;are rebuffing
alloy;alloys;alloy;is alloying;are alloying
reconnect;reconnects;reconnect;is reconnecting;are reconnecting
chant;chants;chant;is chanting;are chanting
hearten;heartens;hearten;is heartening;are heartening
spellbind;spellbinds;spellbind;is spellbinding;are spellbinding
absent;absents;absent;is absenting;are absenting
perpetrate;perpetrates;perpetrate;is perpetrating;are perpetrating
cop;cops;cop;is copping;are copping
exit;exits;exit;is exiting;are exiting
hoick;hoicks;hoick;is hoicking;are hoicking
echo;echoes;echo;is echoing;are echoing
unseat;unseats;unseat;is unseating;are unseating
devise;devises;devise;is devising;are devising
diphthongize;diphthongizes;diphthongize;is diphthongizing;are diphthongizing
kyanize;kyanizes;kyanize;is kyanizing;are kyanizing
margin;margins;margin;is margining;are margining
form;forms;form;is forming;are forming
holp;holps;holp;is holping;are holping
humbug;humbugs;humbug;is humbugging;are humbugging
damn;damns;damn;is damning;are damning
strickle;strickles;strickle;is strickling;are strickling
overman;overmans;overman;is overmanning;are overmanning
untruss;untrusses;untruss;is untrussing;are untrussing
besiege;besieges;besiege;is besieging;are besieging
dissent;dissents;dissent;is dissenting;are dissenting
pop;pops;pop;is popping;are popping
telemeter;telemeters;telemeter;is telemetering;are telemetering
gleam;gleams;gleam;is gleaming;are gleaming
mast;masts;mast;is masting;are masting
whack;whacks;whack;is whacking;are whacking
outline;outlines;outline;is outlining;are outlining
desiderate;desiderates;desiderate;is desiderating;are desiderating
gratulate;gratulates;gratulate;is gratulating;are gratulating
growl;growls;growl;is growling;are growling
syllabify;syllabifies;syllabify;is syllabifying;are syllabifying
outgo;outgoes;outgo;is outgoing;are outgoing
impel;impels;impel;is impelling;are impelling
complement;complements;complement;is complementing;are complementing
publicize;publicizes;publicize;is publicizing;are publicizing
buckram;buckrams;buckram;is buckraming;are buckraming
item;items;item;is iteming;are iteming
tram;trams;tram;is tramming;are tramming
lessen;lessens;lessen;is lessening;are lessening
pule;pules;pule;is puling;are puling
draghunt;drags;draghunt;is draghunting;are draghunting
sup;sups;sup;is supping;are supping
resell;resells;resell;is reselling;are reselling
shoot;shoots;shoot;is shooting;are shooting
guillotine;guillotines;guillotine;is guillotining;are guillotining
sympathize;sympathizes;sympathize;is sympathizing;are sympathizing
assay;assays;assay;is assaying;are assaying
palliate;palliates;palliate;is palliating;are palliating
overcrop;overcrops;overcrop;is overcropping;are overcropping
apostrophize;apostrophizes;apostrophize;is apostrophizing;are apostrophizing
insinuate;insinuates;insinuate;is insinuating;are insinuating
premier;premiers;premier;is premiering;are premiering
hightail;hightails;hightail;is hightailing;are hightailing
adore;adores;adore;is adoring;are adoring
summersault;summersaults;summersault;is somersaulting;are somersaulting
furl;furls;furl;is furling;are furling
shun;shuns;shun;is shunning;are shunning
cannonball;cannonballs;cannonball;is cannonballing;are cannonballing
swingle;swingles;swingle;is swingling;are swingling
incrust;incrusts;incrust;is incrusting;are incrusting
adorn;adorns;adorn;is adorning;are adorning
wish;wishes;wish;is wishing;are wishing
waste;wastes;waste;is wasting;are wasting
miaul;miauls;miaul;is miauling;are miauling
swill;swills;swill;is swilling;are swilling
shinty;shinties;shinty;is shintying;are shintying
twist;twists;twist;is twisting;are twisting
conclude;concludes;conclude;is concluding;are concluding
ingrain;ingrains;ingrain;is ingraining;are ingraining
gnarl;gnars;gnarl;is gnarling;are gnarling
powwow;powwows;powwow;is powwowing;are powwowing
crew;crews;crew;is crewing;are crewing
record;records;record;is recording;are recording
circulate;circulates;circulate;is circulating;are circulating
regenerate;regenerates;regenerate;is regenerating;are regenerating
flavour;flavours;flavour;is flavouring;are flavouring
service;services;service;is servicing;are servicing
gibber;gibbers;gibber;is gibbering;are gibbering
chamois;chamoises;chamois;is chamoising;are chamoising
stab;stabs;stab;is stabbing;are stabbing
ditto;dittos;ditto;is dittoing;are dittoing
disentitle;disentitles;disentitle;is disentitling;are disentitling
collocate;collocates;collocate;is collocating;are collocating
blat;blats;blat;is blatting;are blatting
rear;rears;rear;is rearing;are rearing
doodle;doodles;doodle;is doodling;are doodling
communalize;communalizes;communalize;is communalizing;are communalizing
bejewel;bejewels;bejewel;is bejewelling;are bejewelling
astound;astounds;astound;is astounding;are astounding
sound;sounds;sound;is sounding;are sounding
discourse;discourses;discourse;is discoursing;are discoursing
zero;zeroes;zero;is zeroing;are zeroing
gentle;gentles;gentle;is gentling;are gentling
ammoniate;ammoniates;ammoniate;is ammoniating;are ammoniating
wire;wires;wire;is wiring;are wiring
arm;arms;arm;is arming;are arming
desorb;desorbs;desorb;is desorbing;are desorbing
befool;befools;befool;is befooling;are befooling
acierate;acierates;acierate;is acierating;are acierating
fulfill;fulfils;fulfill;is fulfilling;are fulfilling
dispossess;dispossesses;dispossess;is dispossessing;are dispossessing
grub;grubs;grub;is grubbing;are grubbing
enfeeble;enfeebles;enfeeble;is enfeebling;are enfeebling
intenerate;intenerates;intenerate;is intenerating;are intenerating
condemn;condemns;condemn;is condemning;are condemning
spotlight;spotlights;spotlight;is spotlighting;are spotlighting
suburbanize;suburbanizes;suburbanize;is suburbanizing;are suburbanizing
compere;comperes;compere;is compering;are compering
laicize;laicizes;laicize;is laicizing;are laicizing
sculpt;sculpts;sculpt;is sculpting;are sculpting
collect;collects;collect;is collecting;are collecting
inbreathe;inbreathes;inbreathe;is inbreathing;are inbreathing
mastermind;masterminds;mastermind;is masterminding;are masterminding
humour;humours;humour;is humouring;are humouring
exude;exudes;exude;is exuding;are exuding
relaunch;relaunches;relaunch;is relaunching;are relaunching
grunt;grunts;grunt;is grunting;are grunting
feign;feigns;feign;is feigning;are feigning
body;bodies;body;is bodying;are bodying
overcloud;overclouds;overcloud;is overclouding;are overclouding
compose;composes;compose;is composing;are composing
overwind;overwinds;overwind;is overwinding;are overwinding
clepe;clepes;clepe;is cleping;are cleping
